[2026-01-27 17:45:42] [DEBUG] NBCC: RSI condition failed (25.70)
[2026-01-27 17:45:42] [DEBUG] NCC: RSI condition failed (28.73)
[2026-01-27 17:45:42] [DEBUG] NESTLEIND: RSI condition failed (54.59)
[2026-01-27 17:45:42] [DEBUG] NETWEB: RSI condition failed (40.32)
[2026-01-27 17:45:42] [DEBUG] NEULANDLAB: RSI condition failed (26.87)
[2026-01-27 17:45:42] [DEBUG] NEWGEN: RSI condition failed (17.61)
[2026-01-27 17:45:42] [DEBUG] NH: RSI condition failed (30.95)
[2026-01-27 17:45:42] [DEBUG] NHPC: RSI condition failed (33.96)
[2026-01-27 17:45:42] [DEBUG] NIACL: RSI condition failed (31.90)
[2026-01-27 17:45:42] [DEBUG] NIVABUPA: RSI condition failed (50.50)
